Date,Price,Open,High,Low,Volume,Chg%
"May 12, 2020",75.062,75.945,75.962,75.049,4.05K,-1.09%
"May 11, 2020",75.888,75.535,75.925,75.45,5.78K,0.47%
"May 08, 2020",75.535,75.588,75.645,75.262,3.32K,-0.34%
"May 07, 2020",75.794,76.1,76.145,75.773,0.48K,-0.41%
"May 6, 2020",76.105,75.805,76.108,75.63,3.51K,0.52%
"May 5, 2020",75.71,75.64,75.868,75.471,3.75K,0.09%
"May 4, 2020",75.64,75.75,75.815,75.574,3.44K,-0.14%
"May 1, 2020",75.749,75.319,75.804,75.293,0.54K,0.89%
"Apr 30, 2020",75.08,75.404,75.429,74.909,3.69K,-0.50%
"Apr 29, 2020",75.455,76.07,76.109,75.455,3.28K,-0.80%
"Apr 28, 2020",76.065,76.124,76.449,75.813,2.52K,-0.22%
"Apr 27, 2020",76.229,76.27,76.353,76.019,2.45K,-0.05%
"Apr 24, 2020",76.27,75.962,76.481,75.817,2.77K,0.49%
"Apr 23, 2020",75.895,76.465,76.465,75.824,2.86K,-0.67%
"Apr 22, 2020",76.41,76.93,77.01,76.41,0.83K,-0.73%
"Apr 21, 2020",76.975,76.59,77.004,76.583,0.93K,0.52%
"Apr 20, 2020",76.575,76.55,76.68,76.301,0.83K,0.03%
"Apr 17, 2020",76.55,76.821,76.821,76.242,2.48K,-0.33%
"Apr 16, 2020",76.805,76.625,76.914,76.55,2.43K,0.32%
"Apr 15, 2020",76.563,76.036,76.654,75.934,2.78K,0.72%
"Apr 14, 2020",76.015,76.318,76.378,76.015,0.32K,-0.31%
"Apr 13, 2020",76.249,75.879,76.457,75.879,1.96K,0.49%
"Apr 10, 2020",75.879,75.895,75.935,75.845,0.08K,-0.55%
"Apr 09, 2020",76.3,76.1,76.555,76.016,2.32K,0.47%
"Apr 08, 2020",75.945,75.625,76.41,75.625,1.77K,0.40%
"Apr 07, 2020",75.645,75.965,75.993,75.521,1.99K,-0.43%
"Apr 6, 2020",75.975,76.24,76.256,75.89,0.10K,-0.35%
"Apr 3, 2020",76.241,75.965,76.314,75.783,2.65K,-0.21%
"Apr 2, 2020",76.4,76.386,76.43,76.345,0.08K,-0.01%
"Apr 1, 2020",76.404,75.32,76.422,75.32,0.05K,1.41%
"Mar 31, 2020",75.343,75.535,75.68,75.28,2.06K,-0.09%
"Mar 30, 2020",75.41,75.145,75.675,75.096,1.86K,-0.08%
"Mar 27, 2020",75.472,74.625,75.533,74.365,0.36K,0.78%
"Mar 26, 2020",74.89,75.885,75.965,74.89,2.33K,-1.95%
"Mar 25, 2020",76.375,76.375,76.375,76.375,0,0.00%
"Mar 24, 2020",76.379,76.09,76.385,75.946,2.04K,0.06%
"Mar 23, 2020",76.335,75.37,76.335,75.37,2.39K,1.24%
"Mar 20, 2020",75.398,74.825,75.398,74.71,4.98K,0.82%
"Mar 19, 2020",74.786,74.875,75.312,74.668,4.71K,0.32%
"Mar 18, 2020",74.55,73.974,74.55,73.924,5.63K,0.66%
"Mar 17, 2020",74.062,74.073,74.315,73.858,5.21K,0.08%
"Mar 16, 2020",74.003,74.006,74.359,73.999,4.32K,0.22%
"Mar 13, 2020",73.84,74.561,74.561,73.732,5.26K,-0.99%
"Mar 12, 2020",74.576,74.134,74.579,74.074,5.86K,1.21%
"Mar 11, 2020",73.682,73.792,74.015,73.532,6.53K,-0.63%
"Mar 10, 2020",74.15,74.248,74.248,74.15,0.01K,-0.06%
"Mar 09, 2020",74.195,73.975,74.254,73.85,6.07K,0.26%
"Mar 06, 2020",74.004,73.873,74.073,73.529,1.47K,0.68%
"Mar 5, 2020",73.507,73.517,73.564,73.044,1.92K,-0.04%
"Mar 4, 2020",73.54,73.06,73.64,72.91,7.57K,0.67%
"Mar 3, 2020",73.05,72.48,73.397,72.44,6.74K,0.23%
"Mar 2, 2020",72.882,72.52,72.954,72.028,6.08K,0.47%
"Feb 28, 2020",72.539,71.755,72.574,71.755,6.59K,1.23%
"Feb 27, 2020",71.655,71.645,71.704,71.545,5.35K,0.10%
"Feb 26, 2020",71.58,71.833,71.873,71.532,5.63K,-0.33%
"Feb 25, 2020",71.82,71.87,71.92,71.611,4.83K,-0.16%
"Feb 24, 2020",71.935,71.915,72.015,71.775,4.46K,0.08%
"Feb 21, 2020",71.88,71.665,72.056,71.665,0.16K,0.28%
"Feb 20, 2020",71.68,71.735,71.82,71.53,4.76K,0.11%
"Feb 19, 2020",71.6,71.573,71.6,71.452,0.29K,0.02%
"Feb 18, 2020",71.585,71.415,71.611,71.375,4.96K,0.34%
"Feb 17, 2020",71.34,71.43,71.507,71.26,5.36K,-0.26%
"Feb 14, 2020",71.528,71.294,71.597,71.272,6.80K,0.28%
"Feb 13, 2020",71.33,71.36,71.511,71.254,4.53K,0.03%
"Feb 12, 2020",71.306,71.212,71.391,71.212,5.72K,0.03%
